imagen,tipo,clase_real,clase_pred,conf,iou,critico
20250617_1247_Cajas-Embaladas-en-Palets_remix_01jxyqvwgpe5ysmnf4hza9831s_png.rf.1d2cb00320e748d77e088c26befdeb06.jpg,CONFUSION,paquete_emb_incorrect_dim_incorrect,paquete_emb_correct_dim_correct,0.917,0.947,False
20250617_1253_Palet-Sobrecargado-y-Danado_remix_01jxyr83fcfmmtt783jcwf9zb5_png.rf.a6b0fe98e8f8c5dc50ecaf133e5a4600.jpg,FANTASMA,-,palet_bueno,0.798,0.0,False
20250617_1253_Palet-Sobrecargado-y-Danado_remix_01jxyr83fcfmmtt783jcwf9zb5_png.rf.a6b0fe98e8f8c5dc50ecaf133e5a4600.jpg,FANTASMA,-,paquete_emb_incorrect_dim_incorrect,0.49,0.0,False
20250617_1608_Caja-Pesada-Embalada_remix_01jxz3dzdffmwb2tyeaeeby0a0_png.rf.aca76c762cd21f99396c1816e933b2ee.jpg,FANTASMA,-,palet_roto,0.404,0.0,False
20250617_1608_Caja-Pesada-Embalada_remix_01jxz3dzdffmwb2tyeaeeby0a0_png.rf.aca76c762cd21f99396c1816e933b2ee.jpg,FANTASMA,-,palet_roto,0.274,0.0,False
20250617_2216_Paletizados-Multicolor_remix_01jxzrf3mefq5tb55j34jqy32w_png.rf.035f1f76dd56f0201039ecf5366e8e7c.jpg,FANTASMA,-,palet_roto,0.867,0.0,False
20250617_2216_Paletizados-Multicolor_remix_01jxzrf3mefq5tb55j34jqy32w_png.rf.035f1f76dd56f0201039ecf5366e8e7c.jpg,FANTASMA,-,palet_roto,0.844,0.0,False
20250617_2216_Paletizados-Multicolor_remix_01jxzrf3mefq5tb55j34jqy32w_png.rf.035f1f76dd56f0201039ecf5366e8e7c.jpg,FANTASMA,-,palet_roto,0.84,0.0,False
20250617_2216_Paletizados-Multicolor_remix_01jxzrf3mefq5tb55j34jqy32w_png.rf.035f1f76dd56f0201039ecf5366e8e7c.jpg,FANTASMA,-,palet_roto,0.268,0.0,False
20250620_1358_Paquete-Logistico-Embalado_simple_compose_01jy6k6xbmfwyvhxhz4g2whe14_png.rf.7fc1a1dea33bdc8df0fb05275c9f3c34.jpg,FANTASMA,-,paquete_emb_correct_dim_correct,0.449,0.0,False
20250620_1546_Formas-Irregulares-Embaladas_remix_01jy6sbcywean81de0d4hg7edd_png.rf.20a3d0ff4b5d69225a09b4cd89831b4f.jpg,CONFUSION,paquete_emb_correct_dim_correct,paquete_emb_correct_dim_incorrect,0.935,0.911,False
20250620_1546_Formas-Irregulares-Embaladas_remix_01jy6sbcywean81de0d4hg7edd_png.rf.20a3d0ff4b5d69225a09b4cd89831b4f.jpg,FANTASMA,-,palet_bueno,0.349,0.0,False
20250620_1546_Formas-Irregulares-Embaladas_remix_01jy6sbcywean81de0d4hg7edd_png.rf.20a3d0ff4b5d69225a09b4cd89831b4f.jpg,FANTASMA,-,paquete_emb_correct_dim_correct,0.277,0.0,False
20250620_1549_Formas-Diferentes-y-Variadas_remix_01jy6sgdezefd9evmfe4gdtyw8_png.rf.0b44833a6d7b4265a68fd1665f19db39.jpg,CONFUSION,palet_roto,palet_bueno,0.889,0.917,True
20250620_1946_Paquetes-Mal-Empaquetados_remix_01jy772jjsf7j96xekcnbp3r35_png.rf.7e20af34943191e460fa2d5bea7c3559.jpg,CONFUSION,paquete_emb_incorrect_dim_correct,paquete_emb_incorrect_dim_incorrect,0.636,0.908,False
